Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Duration
No,ai,Akanksha Sheoran,Principal Data Lead,AWS,,,,Unleash the Power of GenAI: Generate Growth and Innovation with Data,"Your data is the key to unlocking GenAI's true potential! This session dives deep into real-world GenAI use cases across various industries. We'll then explore how to optimize your data for these applications. Discover practical strategies to transform your data into the fuel that ignites GenAI's power.  Learn how to unlock fresh ideas, streamline processes, and achieve exceptional results – propelling your business forward with innovation and growth.",https://www.linkedin.com/in/akanksha-sheoran-26535520/,,,,,Akanksha Sheoran_llm.png,https://youtu.be/mQOu7UaUT1k,"growth,Innovation,data",
No,ai,Boluwatife Ben-Adeola,Independent AI Researcher,,,,,Superposition in LLM Feature Representations,"Dive into the quantum realm of LLMs! Join me as we unravel the superposition in LLM feature representations, exploring the intersection of finance, technology, and AI interpretability. Unearth insights from my journey at Bloomberg, Palantir, and my pursuit of mechanistic interpretability.",https://www.linkedin.com/in/ben-adeola/,,,,Boluwatife Ben-Adeola - Conf42 Large Language Models (LLMs) 2024.pdf,Boluwatife Ben-Adeola_llm.png,https://youtu.be/0xpgLo4-cX4,"superposition,feature,representations",
No,ai,Venkata Sai Chaitanya Gatreddi,Growth and GTM advisor,,,,,Unleashing the Power of LLMs: Revolutionizing Marketing Strategies,"Take a journey across the past decade, experiencing the astonishing progress of AI models and LLMs. Join me as we look at the revolutionary advances that have transformed sectors, from cutting-edge language models to the democratization of AI.",https://www.linkedin.com/in/gvs-chaitanya/,,,,Venkata Sai Chaitanya Gatreddi - Conf42 Large Language Models (LLMs) 2024.pdf,Venkata Sai Chaitanya Gatreddi_llm.png,https://youtu.be/EG338xXr5JY,"revolutionizing,marketing,strategies",
No,ai,Samuel Baruffi,Principal Solutions Architect,AWS,,,,Vectoring Into The Future: AWS Empowered RAG Systems for LLMs,"Dive into AWS' innovative toolkit for Retrieval Augmented Generation (RAG) systems. Harness the power of vector databases, SageMaker JumpStart, and/or BedRock to supercharge your Large Language Models (LLMs) and reshape your GenAI landscape!",https://www.linkedin.com/in/samuelbaruffi/,@SamuelBaruffi,,,Samuel Baruffi - Conf42 Large Language Models (LLMs) 2024.pdf,Samuel Baruffi_llm.png,https://youtu.be/2xhalsIDYco,"aws,empowered,rag",
No,apis,Bongani Shongwe,Senior Data Engineer,Adevinta / eBay,,,,Running an open source LLM,"In this talk, we will explore the options available for harnessing LLMs, including deploying your own service or using existing LLM APIs. Attendees will learn best practices for leveraging LLMs effectively, whether by building or subscribing.",https://www.linkedin.com/in/bonganishongwe/,,,,Bongani Shongwe - Conf42 Large Language Models (LLMs) 2024.pdf,Bongani Shongwe_llm.png,https://youtu.be/XFSdVb479T4,"open-source,llm,running",
No,apis,Marcin Szymaniuk,CEO,TantusData,,,,AI Chats: What Nobody Told You - The Conundrums of Business Integration,"Explore the intricacies of integrating ChatGPT into business systems with data privacy challenges, cost implications, and the strategic analysis required for successful integration. Learn about direct API integration, cost optimization, and customizing privately hosted models to fit your resources and needs.",https://www.linkedin.com/in/marcin-szymaniuk/,,,,Marcin Szymaniuk - Conf42 Large Language Models (LLMs) 2024.pdf,Marcin Szymaniuk_llm.png,https://youtu.be/kmVB_-NmEkw,"ai,chats,business",
No,apis,Santosh Nikhil Kumar,Senior Software Engineer,ByteDance,,,,Isolation levels and partial failures in distributed systems with LLMs,"Addressing isolation levels and partial failures in distributed systems with LLMs requires careful consideration of system architecture, fault tolerance mechanisms, and concurrency control strategies to ensure consistent and reliable operation despite the complexities of distributed environments.",https://www.linkedin.com/in/santoshadireddy/,,,,Santosh Nikhil Kumar - Conf42 Large Language Models (LLMs) 2024.pdf,Santosh Nikhil Kumar_llm.png,https://youtu.be/Fu6uaxwWVic,"Isolation,levels,partial,failures",
No,chatbots,Denis Skokov,CPO,Generative AI startup,,,,Implementing GenAI in a banking context: A hands-on approach,"Unlock business potential with LLMs! Learn strategic use case selection, navigate proprietary vs. external models, build a dynamic PoC team, deploy, refine with customer feedback, and scale success across cases. Embrace an agile, iterative development approach for impactful results.",https://www.linkedin.com/in/dansb,,,,Denis Skokov - Conf42 Large Language Models (LLMs) 2024.pdf,Denis Skokov_llm.png,https://youtu.be/AIg1cvT9ahs,"genai,banking,implementing",
No,chatbots,Olivier Ruas,R&D Engineer,Pathway,,,,Make your LLM app sane again: Forgetting incorrect data in real time,"In this talk, you will learn how to create an LLM-powered chatbot in Python from scratch with an up-to-date RAG mechanism. The chatbot will answer questions about your documents, updating its knowledge in real-time alongside the changes in the documentation, enabling the chatbot to filter out fake news.",https://www.linkedin.com/in/oruas/,,,,,Olivier Ruas_llm.png,https://youtu.be/K6oQ6v3pgZk,"llm,app,forgetting",
No,chatbots,Zain Hasan,Senior Developer Advocate,Weaviate,,,,Building Chatbots with Advanced Retrieval-Augmented Generation Techniques,"I will present how you can build realistic chatbots capable of handling authentic conversations using advanced retrieval augmented generation (RAG) techniques such as hybrid search, re-ranking, query generation, and semantic text chunking.",https://www.linkedin.com/in/zainhas/,@zainhasan6,,,Zain Hasan - Conf42 Large Language Models (LLMs) 2024.pdf,Zain Hasan_llm.png,https://youtu.be/rCFcZDs4V14,"chatbots,retrieval-augmented,building",
No,chatbots,Aldan Creo,Technology Research Specialist,Accenture,,,,How to use ChatGPT without getting caught,"Explore the detection of AI-generated text! Learn from scratch how AI text generation works. Discover classifier systems, black/white box models, watermarking, and manual techniques for detection. Uncover the tricks to bypass these systems by diving into the world of detection of AI-generated texts!",https://www.linkedin.com/in/acmcmc/,@acmcmc,,,Aldan Creo - Conf42 Large Language Models (LLMs) 2024.pdf,Aldan Creo_llm.png,https://youtu.be/IZSGBQd702A,"chatgpt,without,caught",
No,culture,Dmitry Kindrya,Chief Operations Officer,ToYou Delivery,,,,LLM-Models: Revolutionizing Customer Support or Ringing its Death Knell?,"Join me to explore whether these models are the game-changers or potential disruptors, and gain insights into navigating this transformative landscape.",https://www.linkedin.com/in/dmitry-kindrya-8a72a133/,,,,Dmitry Kindrya - Conf42 Large Language Models (LLMs) 2024.pdf,Dmitry Kindrya_llm.png,https://youtu.be/wqxQMQJzcS0,"customer,support,revolutionizing",
No,culture,Bobur Umurzokov,Developer Advocate,Ataccama,,,,LLM for better developer learning of your product,Learn how an LLM app can solve key challenges in developer learning.,https://www.linkedin.com/in/boburumurzokov/,@BoburUmurzokov,,,Bobur Umurzokov - Conf42 Large Language Models (LLMs) 2024.pdf,Bobur Umurzokov_llm.png,https://youtu.be/wDDhnQlM35A,"developer,learning,product",
No,culture,Ashwin Phadke,Senior Machine Learning Engineer,Servient,,,,"You get an LLM, you get an LLM, everyone gets an LLM, but does it work?","While everyone wants to say those magical words AI, LLM, have you evaluated your models to see if they actually work for you and your use case, or are you just using whatever's the most trending model out there? In this talk, we will explore the language models and evaluate those choices.",https://www.linkedin.com/in/ashwin-phadke1041995/,@ashwinphadke1,,,Ashwin Phadke - Conf42 Large Language Models (LLMs) 2024.pdf,Ashwin Phadke_llm.png,https://youtu.be/anmXNMEaNhg,"llm,work,everyone",
No,deep dive,Chloe Caron,Architect Developer,Theodo,,,,How well do LLMs detect anomalies in your data?,"Bad data quality causes US companies to lose, on average, 12% of their revenue. In this talk, we will construct an anomaly detector, exploring LLMs, prompt engineering, and data type impacts. Along this path, we will analyze the use of multiple tools including OpenAI, BigQuery, and Mistral.",https://www.linkedin.com/in/chlo%C3%A9-caron-38406a112/,@ChloeCaronEng,,,Chloe Caron - Conf42 Large Language Models (LLMs) 2024.pdf,Chloe Caron_llm.png,https://youtu.be/2EQ28kMx_ZA,"llms,detect,anomalies",
No,deep dive,Michael Yuan,Co-founder,Second State & WasmEdge,,,,Self-hosted LLMs across all your devices and GPUs,"Fast and Portable Llama2 Inference on the Heterogeneous Edge: An alternative to Python. Compared with Python, Rust+Wasm apps could be 1/100 of the size, 100 times the speed, and, most importantly, securely run everywhere at full hardware acceleration without any change to the binary code.",,@juntao,,,Michael Yuan - Conf42 Large Language Models (LLMs) 2024.pdf,Michael Yuan_llm.png,https://youtu.be/O0TRkjrDh78,Self-host LLMs on Mac/across devices: Fast and Efficient,
